abs 2.4.4-2
acl 2.2.52-2
adwaita-icon-theme 3.20-2
alsa-lib 1.1.1-1
ansible 2.1.0.0-1
apr 1.5.2-1
apr-util 1.5.4-2
arandr 0.1.9-1
archlinux-keyring 20160402-1
asciidoc 8.6.9-3
at-spi2-atk 2.20.1-2
at-spi2-core 2.20.2-1
atk 2.20.0-1
attr 2.4.47-1
aura-bin 1.3.6-1
autoconf 2.69-3
automake 1.15-1
avahi 0.6.32-2
bash 4.3.046-1
bind-tools 9.10.4.P2-1
binutils 2.26.1-1
bison 3.0.4-2
bzip2 1.0.6-5
ca-certificates 20160507-1
ca-certificates-cacert 20140824-3
ca-certificates-mozilla 3.25-1
ca-certificates-utils 20160507-1
cairo 1.14.6-1
cmake 3.6.1-1
colord 1.3.2-2
compositeproto 0.4.2-3
compton 0.1_beta2.5-3
confuse 2.8-2
coreutils 8.25-2
cracklib 2.9.6-1
cryptsetup 1.7.2-1
curl 7.50.0-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.8-1
dbus-glib 0.106-1
dcadec 0.2.0-1
dconf 0.26.0-2
desktop-file-utils 0.23-1
device-mapper 2.02.161-1
dhcpcd 6.11.1-1
diffutils 3.3-3
dmenu 4.6-1
dmxproto 2.3.1-3
dnssec-anchors 20150403-1
docbook-xml 4.5-6
docbook-xsl 1.79.1-1
dotconf 1.3-4
e2fsprogs 1.43.1-1
elfutils 0.166-1
exo 0.10.7-2
expat 2.2.0-1
faba-icon-theme-git 317.e50649d-1
faba-mono-icons-git 106.2006c52-1
fakeroot 1.21-1
feh 2.16.1-1
ffmpeg 1:3.1.1-2
ffmpeg2.8 2.8.7-2
file 5.28-1
filesystem 2015.09-1
findutils 4.6.0-1
firefox 47.0.1-1
fixesproto 5.0-3
flac 1.3.1-3
flex 2.6.0-3
fontconfig 2.12.0-1
fontsproto 2.1.3-1
freetype2 2.6.5-2
fribidi 0.19.7-1
gawk 4.1.3-1
gc 7.4.2-4
gcc 6.1.1-3
gcc-libs 6.1.1-3
gcolor2 0.4-7
gconf 3.2.6-4
gdbm 1.12-2
gdk-pixbuf2 2.34.0-2
geoip 1.6.6-2
geoip-database 20160301-2
gettext 0.19.8.1-2
giflib 5.1.4-1
git 2.9.0-1
git-extras 4.1.0-1
glib-networking 2.48.2-1
glib2 2.48.1-1
glibc 2.23-5
gmp 6.1.1-1
gnupg 2.1.14-1
gnutls 3.4.14-1
google-chrome 52.0.2743.82-1
gpgme 1.6.0-2
graphite 1:1.3.8-1
grep 2.25-2
groff 1.22.3-6
grub 1:2.02.beta2-6
gsettings-desktop-schemas 3.21.2-1
gsm 1.0.14-1
gtk-engine-murrine 0.98.2-2
gtk-theme-arc-git 563.ee44856-1
gtk-theme-numix-solarized 20151122-2
gtk-update-icon-cache 3.20.6-1
gtk2 2.24.30+95+g876b5f7-1
gtk3 3.20.6-1
guile 2.0.11-4
gzip 1.8-2
harfbuzz 1.3.0-1
harfbuzz-icu 1.3.0-1
hdf5 1.10.0-1
hicolor-icon-theme 0.15-1
htop 2.0.2-1
http-parser 2.7.1-1
hunspell 1.4.1-1
hwids 20160421-1
i3-gaps-git 4.12-1
i3blocks 1.4-3
i3lock 2.8-1
i3status 2.10-1
iana-etc 20160513-1
icu 57.1-1
idnkit 1.0-3
imlib2 1.4.9-1
inetutils 1.9.4-2
inputproto 2.3.2-1
iproute2 4.5.0-2
iptables 1.6.0-1
iputils 20160308.0db72a4-1
jasper 1.900.1-15
jfsutils 1.1.15-4
js17 17.0.0-3
json-c 0.12.1-1
json-glib 1.2.0-1
jsoncpp 1.7.3-2
kbd 2.0.3-1
kbproto 1.0.7-1
keyutils 1.5.9-1
kmod 23-1
krb5 1.13.4-1
lame 3.99.5-3
lcms2 2.7-1
ldns 1.6.17-4
less 481-2
libaio 0.3.110-1
libarchive 3.2.1-2
libass 0.13.2-1
libassuan 2.4.3-1
libasyncns 0.8-5
libatomic_ops 7.4.4-1
libavc1394 0.5.4-2
libbluray 0.9.2-2
libcap 2.25-1
libconfig 1.5-3
libcroco 0.6.11-1
libcups 2.1.4-1
libdaemon 0.14-3
libdatrie 0.2.10-1
libdbus 1.10.8-1
libdmx 1.1.3-1
libdrm 2.4.70-1
libedit 20160618_3.1-1
libelf 0.166-1
libepoxy 1.3.1-1
libev 4.22-1
libevdev 1.5.2-1
libevent 2.0.22-2
libexif 0.6.21-2
libffi 3.2.1-2
libfontenc 1.1.3-1
libgcrypt 1.7.2-1
libglade 2.6.4-5
libgpg-error 1.24-1
libgudev 230-1
libgusb 0.2.9-1
libice 1.0.9-1
libid3tag 0.15.1b-8
libidn 1.32-1
libiec61883 1.2.0-4
libjpeg-turbo 1.5.0-1
libksba 1.3.4-1
libldap 2.4.44-2
libmnl 1.0.4-1
libmodplug 0.8.8.5-2
libmpc 1.0.3-2
libnftnl 1.0.6-1
libnl 3.2.27-1
libnotify 0.7.6-2
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
libpciaccess 0.13.4-1
libpipeline 1.4.1-1
libpng 1.6.23-1
libproxy 0.4.12-2
libpulse 9.0-1
libraw1394 2.1.2-1
librsvg 2:2.40.16-1
libsasl 2.1.26-8
libseccomp 2.3.1-1
libsm 1.2.2-2
libsndfile 1.0.27-1
libsoup 2.54.1-1
libsoxr 0.1.2-1
libssh 0.7.3-1
libssh2 1.7.0-2
libsystemd 230-7
libtasn1 4.8-2
libthai 0.1.24-1
libtheora 1.1.1-3
libtiff 4.0.6-2
libtirpc 1.0.1-2
libtool 2.4.6-5
libtxc_dxtn 1.0.1-6
libunistring 0.9.6-2
libunwind 1.1-3
libusb 1.0.20-1
libutil-linux 2.28-1
libuv 1.9.1-1
libva 1.7.1-1
libvdpau 1.1.1-2
libvorbis 1.3.5-1
libvpx 1.5.0-4
libwebp 0.5.1-1
libx11 1.6.3-1
libx264 2:148.20160613-2
libxau 1.0.8-2
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdg-basedir 1.2.0-3
libxdmcp 1.1.2-1
